place,Count_Person,Count_Person_EducationalAttainmentBachelorsDegreeOrHigher,Median_Age_Person,Median_Income_Household,Percent_Person_WithAsthma,Percent_Person_WithHighBloodPressure
zip/20712,9563.0,2394.0,39.3,68846.0,10.7,32.7
zip/20615,460.0,60.0,58.6,191944.0,11.2,38.6
zip/21717,245.0,43.0,42.6,158413.0,10.5,28.2
zip/21652,155.0,78.0,68.5,127930.0,10.4,42.7
zip/21734,1076.0,263.0,52.4,61392.0,11.7,41.2
zip/21810,55.0,29.0,69.9,133201.0,10.6,39.0
zip/20765,668.0,196.0,53.1,149545.0,10.5,42.1
zip/21762,139.0,42.0,33.6,143438.0,10.2,30.4
zip/21714,95.0,46.0,58.6,161806.0,9.4,31.5
zip/21077,63.0,28.0,29.9,180167.0,11.2,32.8
zip/21052,409.0,86.0,27.8,77300.0,10.6,33.6
zip/21051,172.0,47.0,44.5,232721.0,10.0,32.2
zip/21890,3289.0,69.0,35.8,,9.3,35.3
zip/21767,1031.0,73.0,51.4,57940.0,12.0,35.7
zip/20896,932.0,565.0,49.7,250001.0,9.5,31.2
zip/20880,577.0,384.0,62.2,134583.0,9.7,34.5
zip/21718,134.0,55.0,57.6,93500.0,9.2,41.8
zip/20742,4350.0,0.0,19.0,,12.6,12.9
zip/21664,635.0,76.0,34.0,82721.0,12.2,34.5
zip/21746,2361.0,54.0,38.0,,10.3,33.9
zip/21252,4865.0,30.0,20.0,,16.7,17.5
zip/21250,2834.0,12.0,19.9,,10.5,13.2
zip/21781,25.0,0.0,21.9,,9.8,18.3
zip/21653,84.0,61.0,72.7,100917.0,9.4,34.4
zip/20812,276.0,155.0,47.5,213750.0,9.1,29.0
zip/21641,127.0,17.0,58.8,66875.0,10.8,34.9
zip/21866,81.0,4.0,60.6,95250.0,10.2,48.0
zip/20899,57.0,0.0,62.8,24417.0,10.7,37.8
zip/21555,1470.0,114.0,42.6,53266.0,12.4,42.1
zip/21921,45527.0,9121.0,39.4,85775.0,11.7,36.8
zip/20659,24324.0,4323.0,37.5,121654.0,11.0,36.1
zip/21502,41015.0,6002.0,42.8,60725.0,12.0,41.2
zip/20646,21400.0,5218.0,42.9,131974.0,11.4,39.0
zip/20650,16094.0,4714.0,38.6,143116.0,10.2,35.7
zip/21530,1404.0,238.0,56.0,63542.0,12.6,43.5
zip/20662,2129.0,304.0,41.8,86699.0,12.1,46.4
zip/21901,19514.0,4715.0,38.3,113719.0,11.5,34.1
zip/21919,3626.0,821.0,47.7,106500.0,11.2,41.3
zip/20640,10685.0,1799.0,38.8,100593.0,12.2,41.0
zip/21766,854.0,213.0,30.8,62054.0,12.1,45.6
zip/20664,3138.0,433.0,44.3,88438.0,11.4,42.2
zip/21532,13647.0,2588.0,34.8,63690.0,12.2,37.1
zip/20601,26945.0,6077.0,37.4,117480.0,12.1,39.9
zip/21154,6544.0,1376.0,50.0,97658.0,10.9,38.3
zip/21911,10551.0,1888.0,41.9,104673.0,11.4,36.3
zip/20636,10486.0,2505.0,39.4,163690.0,11.2,36.2
zip/21912,1536.0,317.0,58.2,69868.0,11.3,36.9
zip/21005,2202.0,872.0,33.1,125208.0,10.5,30.5
zip/20653,26852.0,6543.0,34.8,103048.0,11.4,35.5
zip/20637,6133.0,1441.0,43.5,160121.0,11.4,38.6
zip/21015,30013.0,10759.0,40.4,137281.0,10.3,33.2
zip/20622,5185.0,794.0,49.4,124063.0,11.0,42.9
zip/21078,20030.0,6239.0,46.8,106667.0,10.7,38.0
zip/21001,27168.0,5365.0,37.7,83238.0,11.7,38.0
zip/21050,17466.0,5473.0,44.1,125208.0,10.4,34.3
zip/21557,1481.0,218.0,45.3,34936.0,12.3,41.4
zip/21034,2846.0,470.0,45.1,78047.0,11.0,40.3
zip/21161,5221.0,1415.0,46.7,108094.0,10.5,35.4
zip/21084,7070.0,2208.0,44.0,121509.0,10.8,36.3
zip/21904,6233.0,1171.0,39.7,88136.0,11.7,37.6
zip/21915,2471.0,405.0,51.9,95875.0,11.1,40.1
zip/21047,13852.0,5234.0,45.4,157500.0,10.2,35.0
zip/21132,3160.0,812.0,41.0,132288.0,10.7,35.5
zip/20693,1496.0,274.0,39.0,126033.0,11.2,40.2
zip/21085,17307.0,3963.0,42.3,113714.0,11.0,36.5
zip/21918,4169.0,500.0,42.9,84587.0,11.4,38.1
zip/20603,31844.0,8466.0,38.4,137946.0,12.2,38.8
zip/20619,14212.0,4953.0,36.6,119432.0,10.5,31.5
zip/21545,1694.0,225.0,43.1,60264.0,12.3,40.9
zip/20677,2088.0,628.0,51.5,165764.0,11.2,42.1
zip/21160,2441.0,450.0,52.7,106181.0,11.2,35.9
zip/20602,28331.0,5484.0,34.2,107360.0,12.3,39.5
zip/20695,16407.0,4339.0,38.9,141959.0,12.1,40.5
zip/21014,38707.0,12854.0,41.3,116970.0,10.4,33.9
zip/20621,958.0,127.0,63.0,47978.0,11.3,41.7
zip/21028,3103.0,1092.0,44.6,137586.0,10.1,34.3
zip/21903,5692.0,818.0,43.1,78962.0,11.7,38.9
zip/21009,33679.0,9667.0,36.2,121660.0,10.9,31.6
zip/20624,796.0,63.0,41.3,104545.0,10.5,34.0
zip/20609,714.0,131.0,59.3,118102.0,11.1,40.8
zip/21040,24960.0,3775.0,36.4,81704.0,11.9,37.3
zip/20616,8057.0,1653.0,37.4,128177.0,11.9,38.8
zip/20670,2046.0,246.0,22.9,70371.0,10.2,17.7
zip/20684,802.0,319.0,44.2,180060.0,10.3,41.2
zip/20611,1219.0,172.0,45.1,151607.0,11.0,39.5
zip/20680,663.0,122.0,33.6,81125.0,10.5,41.6
zip/21917,2233.0,189.0,42.4,96750.0,11.8,35.7
zip/20618,1705.0,225.0,52.0,105508.0,11.1,42.0
zip/21010,239.0,61.0,19.3,99410.0,11.6,28.8
zip/20692,505.0,233.0,59.1,201250.0,10.4,38.5
zip/20675,1796.0,670.0,49.6,127269.0,11.1,41.1
zip/20634,7088.0,1768.0,32.0,139375.0,11.0,33.8
zip/20630,559.0,297.0,56.1,233411.0,10.8,38.3
zip/21224,47465.0,16873.0,34.3,89017.0,11.0,25.4
zip/21215,52229.0,9521.0,41.2,51587.0,12.8,45.1
zip/20632,485.0,163.0,41.1,204071.0,10.7,40.0
zip/20628,503.0,190.0,35.9,160043.0,11.0,39.4
zip/21230,32977.0,14493.0,33.9,91842.0,10.9,24.8
zip/20617,334.0,197.0,51.5,104036.0,10.9,41.9
zip/21229,46679.0,7628.0,37.5,60047.0,12.9,41.0
zip/20687,415.0,163.0,73.1,143468.0,10.7,43.1
zip/21206,48902.0,9332.0,36.7,64531.0,12.7,39.1
zip/21226,6674.0,1392.0,33.6,82635.0,11.5,33.0
zip/20658,866.0,207.0,48.0,104375.0,11.9,42.2
zip/21218,44014.0,12892.0,35.0,62488.0,12.2,33.5
zip/20620,1115.0,249.0,41.6,165972.0,11.0,34.4
zip/21524,710.0,58.0,36.1,76417.0,11.9,41.9
zip/21213,28058.0,3423.0,38.3,51344.0,13.9,45.1
zip/21216,29426.0,3327.0,34.7,42031.0,13.9,45.8
zip/21210,14134.0,6790.0,32.0,112428.0,9.5,22.6
zip/21211,14969.0,7944.0,37.5,82828.0,10.3,25.4
zip/21214,21092.0,6446.0,40.8,86366.0,11.9,36.4
zip/21017,6648.0,1934.0,37.6,106831.0,11.5,33.0
zip/21223,19572.0,2156.0,38.6,45840.0,14.4,44.4
zip/21212,33974.0,12714.0,38.5,96685.0,11.1,33.4
zip/21543,185.0,25.0,30.9,33750.0,11.3,40.1
zip/20667,150.0,83.0,39.6,36048.0,11.6,37.9
zip/21239,27346.0,6033.0,37.1,62650.0,12.9,40.1
zip/21217,30792.0,4992.0,38.8,38409.0,13.4,42.9
zip/21205,13013.0,1468.0,35.9,43176.0,13.5,40.4
zip/20674,769.0,278.0,45.3,171985.0,10.3,37.9
zip/20690,1077.0,310.0,45.7,122750.0,10.1,38.7
zip/21202,20683.0,7359.0,33.7,59377.0,11.7,30.2
zip/20626,284.0,46.0,64.5,53143.0,10.5,42.0
zip/20645,814.0,257.0,50.9,191429.0,11.0,44.9
zip/21201,18307.0,6362.0,33.6,45640.0,12.2,31.5
zip/21913,820.0,161.0,29.9,87813.0,11.4,32.4
zip/21920,1413.0,206.0,36.7,124146.0,10.5,39.5
